model,year,transmission,mileage,fuelType,tax(£),mpg,engineSize,price
 Santa Fe,2019,Semi-Auto,9923,Diesel,145,39.2,2.2,32570
 I30,2019,Manual,1500,Petrol,145,34,2,24970
 I10,2020,Manual,1600,Petrol,145,53.3,1,13495
 I20,2016,Manual,31163,Petrol,30,55.4,1.2,6980
 I10,2019,Manual,3655,Petrol,150,60.1,1,7698
 Tucson,2017,Manual,24049,Diesel,150,61.7,1.7,11998
 I20,2016,Manual,45770,Petrol,20,60.1,1.2,6400
 I20,2016,Manual,23500,Petrol,20,58.9,1,7995
 IX20,2013,Automatic,50150,Petrol,200,43.6,1.6,6995
 I10,2015,Manual,18374,Petrol,30,57.6,1.2,6995
 I10,2019,Manual,2323,Petrol,145,49.6,1,9195
 Santa Fe,2018,Semi-Auto,9176,Diesel,145,39.2,2.2,31995
 I20,2016,Manual,26543,Petrol,30,55.4,1.2,7175
 IX35,2013,Manual,55472,Diesel,145,53.3,1.7,6999
 I30,2018,Manual,17704,Petrol,150,56.5,1,11298
 Tucson,2017,Semi-Auto,16768,Diesel,125,57.6,1.7,15698
 Kona,2018,Manual,17789,Petrol,145,52.3,1,12498
 Tucson,2019,Manual,14231,Petrol,145,34.9,1.6,15498
 Tucson,2017,Manual,21025,Diesel,30,61.7,1.7,13498
 Tucson,2016,Manual,46601,Diesel,30,61.7,1.7,11823
 I30,2013,Manual,47176,Diesel,0,76.3,1.6,6000
 Ioniq,2019,Automatic,8601,Hybrid,135,78.5,1.6,15970
 Kona,2017,Manual,22300,Diesel,150,74.3,1,12470
 Kona,2019,Manual,20490,Petrol,150,44.1,1,14470
 IX20,2018,Manual,10612,Petrol,150,50.4,1.4,10350
 I10,2017,Manual,19625,Petrol,145,57.7,1.2,7998
 Tucson,2015,Manual,54411,Diesel,30,61.7,1.7,10995
 I30,2015,Manual,59040,Diesel,0,78.4,1.6,7298
 Tucson,2017,Semi-Auto,14376,Diesel,125,57.6,1.7,15498
 Tucson,2018,Semi-Auto,33530,Petrol,145,39.8,1.6,16780
 Kona,2020,Automatic,2083,Hybrid,135,52.3,1.6,25280
 Ioniq,2019,Automatic,4868,Hybrid,135,62.8,1.6,22680
 Ioniq,2017,Automatic,22293,Hybrid,0,78.5,1.6,15780
 Tucson,2020,Automatic,978,Petrol,145,35.8,1.6,25180
 Tucson,2020,Automatic,1298,Hybrid,145,50.4,1.6,25980
 I30,2020,Manual,2148,Petrol,145,34,2,25280
 Tucson,2017,Manual,50313,Diesel,125,58.9,2,13791
 I30,2019,Manual,2180,Petrol,145,42.2,1.4,16980
 Santa Fe,2018,Manual,21588,Diesel,145,47.1,2.2,20842
 Tucson,2017,Manual,15040,Diesel,145,61.7,1.7,13698
 I10,2016,Manual,26753,Petrol,20,60.1,1,5998
 I10,2017,Manual,31037,Petrol,20,60.1,1,5698
 I30,2017,Semi-Auto,17845,Petrol,145,51.4,1.4,13488
 I10,2015,Manual,36188,Petrol,30,57.6,1.2,6995
 IX35,2015,Automatic,39661,Diesel,265,41.5,2,10495
 IX20,2016,Manual,21941,Petrol,125,50.4,1.4,8470
 IX20,2013,Manual,15566,Petrol,145,45.6,1.4,5995
 I10,2017,Manual,16609,Petrol,30,57.7,1.2,7795
 I10,2020,Manual,3000,Petrol,145,56.5,1,13995
 I10,2020,Manual,1000,Petrol,145,53.3,1,14995
 I30,2018,Manual,1502,Petrol,145,49.6,2,14995
 I30,2016,Manual,42310,Diesel,20,72.4,1.6,9795
 I10,2016,Manual,25026,Petrol,20,61.4,1,6495
 I20,2016,Manual,12335,Petrol,30,56.5,1.2,8995
 Ioniq,2017,Automatic,19096,Hybrid,0,78.5,1.6,16495
 Kona,2018,Manual,15371,Petrol,145,52.3,1,14995
 I20,2016,Manual,41607,Petrol,30,58.9,1.2,6995
 I10,2019,Manual,9586,Petrol,145,60.1,1,8470
 I10,2019,Manual,8875,Petrol,145,57.6,1.2,8670
 Tucson,2019,Manual,1541,Petrol,145,35.3,1.6,21995
 Kona,2019,Manual,1442,Petrol,145,44.1,1,15995
 Tucson,2019,Manual,5981,Petrol,145,34.9,1.6,21995
 I30,2019,Manual,1000,Petrol,145,41.5,1.4,17995
 I20,2019,Manual,1000,Petrol,145,46.3,1.2,13995
 I40,2015,Automatic,17200,Diesel,200,47.1,1.7,11995
 I20,2016,Manual,8598,Petrol,30,55.4,1.2,8795
 I20,2017,Manual,18916,Petrol,145,58.9,1.2,8995
 I10,2019,Manual,10292,Petrol,145,57.6,1.2,9470
 I10,2019,Manual,9290,Petrol,145,57.6,1.2,8970
 I20,2019,Manual,7811,Petrol,145,46.3,1.2,10970
 I30,2018,Semi-Auto,13209,Diesel,150,68.9,1.6,13470
 I30,2019,Manual,20,Petrol,150,34,2,23970
 I30,2019,Manual,20,Petrol,150,34.9,2,20970
 Santa Fe,2017,Semi-Auto,39589,Diesel,240,42.8,2.2,19470
 I30,2017,Semi-Auto,16844,Petrol,150,51.4,1.4,11470
 Kona,2019,Semi-Auto,100,Petrol,145,37.7,1.6,22970
 Tucson,2018,Manual,10354,Petrol,145,44.8,1.6,14970
 Ioniq,2019,Automatic,6000,Hybrid,135,62.8,1.6,22970
 I10,2019,Manual,9932,Petrol,145,60.1,1,8470
 I10,2017,Manual,15061,Petrol,30,57.7,1.2,7470
 Tucson,2017,Manual,19179,Diesel,30,61.4,1.7,15970
 I20,2015,Manual,19800,Petrol,30,55.4,1.2,7995
 I20,2015,Manual,19935,Petrol,30,55.4,1.2,7995
 I10,2015,Manual,23869,Petrol,20,60.1,1,6250
 I10,2018,Manual,5713,Petrol,145,60.1,1,8470
 I10,2019,Manual,11938,Petrol,145,57.6,1.2,9970
 I10,2019,Manual,10871,Petrol,145,60.1,1,8970
 I10,2017,Manual,6955,Petrol,145,60.1,1,7470
 I10,2019,Manual,8639,Petrol,145,57.6,1.2,10470
 Santa Fe,2016,Manual,39979,Diesel,200,47.1,2.2,16470
 Ioniq,2018,Automatic,14886,Hybrid,135,256.8,1.6,18970
 I30,2018,Semi-Auto,6726,Diesel,145,68.9,1.6,13470
 Santa Fe,2017,Manual,41109,Diesel,200,47.1,2.2,18670
 Ioniq,2019,Automatic,8837,Hybrid,135,78.5,1.6,19970
 Tucson,2017,Manual,13751,Diesel,145,61.7,1.7,15470
 I10,2019,Manual,11782,Petrol,145,57.6,1.2,9970
 Ioniq,2017,Automatic,14673,Hybrid,0,78.5,1.6,15470
 I20,2015,Manual,16533,Petrol,30,55.4,1.2,7995
 IX20,2018,Manual,2259,Petrol,145,37.2,1.6,15495
 I10,2019,Manual,500,Petrol,145,60.1,1,11495
 I20,2013,Manual,30252,Petrol,30,57.6,1.2,5495
 I20,2014,Manual,30950,Petrol,30,57.6,1.2,5895
 IX35,2015,Manual,67648,Diesel,145,54.3,1.7,7995
 IX20,2018,Manual,25833,Petrol,145,50.4,1.4,11490
 Tucson,2017,Manual,22138,Diesel,145,61.7,1.7,13280
 Ioniq,2018,Automatic,14585,Hybrid,140,78.5,1.6,15980
 Tucson,2015,Manual,72712,Diesel,125,58.9,2,11990
 I30,2016,Manual,23857,Diesel,0,78.4,1.6,9298
 Tucson,2016,Manual,81050,Petrol,160,44.8,1.6,8698
 Tucson,2016,Manual,42252,Diesel,205,47.9,2,13798
 I10,2019,Manual,11544,Petrol,145,57.6,1.2,8970
 IX20,2016,Manual,25969,Petrol,125,50.4,1.4,7970
 Kona,2019,Manual,7178,Petrol,145,44.1,1,13970
 I10,2019,Manual,8835,Petrol,145,60.1,1,8270
 I30,2017,Manual,18539,Diesel,145,78.4,1.6,9499
 I10,2017,Manual,31534,Petrol,145,57.7,1.2,6900
 IX20,2016,Manual,27815,Petrol,125,50.4,1.4,8050
 IX35,2015,Manual,40096,Diesel,145,54.3,1.7,8991
 I800,2018,Manual,33389,Diesel,145,31.7,2.5,15838
 Tucson,2018,Semi-Auto,12037,Petrol,145,39.8,1.6,17782
 I40,2017,Manual,27145,Diesel,145,65.7,1.7,12450
 I800,2018,Automatic,29746,Diesel,145,31.7,2.5,15280
 I30,2019,Manual,2244,Petrol,145,42.2,1.4,17480
 I10,2018,Manual,28890,Petrol,145,60.1,1,7125
 I10,2018,Manual,29157,Petrol,145,60.1,1,7180
 Ioniq,2019,Automatic,5047,Hybrid,135,78.5,1.6,17480
 Tucson,2018,Manual,12085,Diesel,145,61.7,1.7,13980
 IX20,2017,Manual,15956,Petrol,145,50.4,1.4,8780
 I30,2019,Manual,6996,Petrol,145,34,2,22880
 I10,2017,Manual,30346,Petrol,145,60.1,1,6780
 Tucson,2018,Manual,9606,Petrol,145,34.9,1.6,15280
 Tucson,2020,Manual,1451,Hybrid,145,47.9,1.6,26000
 I20,2017,Manual,37500,Petrol,30,58.9,1.2,7180
 Kona,2019,Semi-Auto,18,Petrol,145,37.7,1.6,22000
 I40,2016,Manual,31731,Diesel,30,65.7,1.7,11180
 Tucson,2020,Semi-Auto,3100,Petrol,145,36.2,1.6,23480
 Ioniq,2019,Automatic,14031,Hybrid,135,78.5,1.6,18480
 Ioniq,2019,Automatic,3704,Hybrid,135,78.5,1.6,22680
 I10,2016,Manual,20295,Petrol,30,57.6,1.2,6480
 Tucson,2019,Automatic,2003,Hybrid,145,50.4,1.6,25499
 Tucson,2017,Manual,36357,Diesel,30,61.7,1.7,12990
 I10,2020,Manual,500,Petrol,145,53.3,1,13000
 I30,2014,Manual,39260,Petrol,160,44.1,1.6,6800
 Santa Fe,2020,Semi-Auto,1500,Diesel,145,39.2,2.2,35500
 I10,2017,Manual,8962,Petrol,145,60.1,1,7000
 Tucson,2017,Manual,7608,Petrol,145,38.7,1.6,16990
 Tucson,2016,Automatic,21656,Diesel,200,47.1,2,14990
 Ioniq,2019,Semi-Auto,1750,Hybrid,135,62.8,1.6,20500
 Ioniq,2020,Automatic,1500,Hybrid,135,62.8,1.6,22000
 I10,2015,Manual,14787,Petrol,30,57.6,1.2,6490
 Ioniq,2019,Automatic,10547,Hybrid,135,78.5,1.6,16750
 I40,2016,Manual,45142,Diesel,30,65.7,1.7,10610
 IX35,2014,Manual,39472,Petrol,200,41.5,1.6,7750
 I10,2017,Manual,26628,Petrol,145,57.7,1.2,7380
 I30,2016,Manual,32795,Diesel,0,78.4,1.6,9000
 I10,2017,Manual,30500,Petrol,145,57.7,1.2,6400
 I800,2018,Automatic,36862,Diesel,145,28,2.5,16500
 Santa Fe,2015,Manual,50715,Diesel,200,46.3,2.2,15000
 I10,2017,Manual,8652,Petrol,20,60.1,1,7500
 Kona,2020,Automatic,1000,Hybrid,135,52.3,1.6,23000
 I30,2016,Manual,45985,Diesel,0,78.4,1.6,7790
 Tucson,2016,Manual,31022,Diesel,30,61.7,1.7,11998
 I30,2017,Semi-Auto,30335,Diesel,145,68.9,1.6,10299
 Tucson,2019,Semi-Auto,8125,Diesel,150,46.3,1.6,23990
 I10,2014,Manual,12590,Petrol,30,57.6,1.2,5930
 IX35,2014,Manual,31172,Diesel,145,53.3,1.7,9295
 I20,2016,Manual,20219,Petrol,30,58.9,1,9590
 Tucson,2015,Manual,47085,Diesel,145,54.3,2,14250
 Tucson,2017,Semi-Auto,19012,Diesel,145,57.6,1.7,15750
 I10,2013,Automatic,46211,Petrol,125,51.4,1.2,4965
 I30,2018,Manual,23064,Petrol,145,56.5,1,9699
 I10,2014,Manual,8896,Petrol,20,60.1,1,6630
 I10,2016,Manual,9862,Petrol,30,57.6,1.2,7790
 I10,2016,Manual,16985,Petrol,20,60.1,1,5990
 IX20,2018,Automatic,17167,Petrol,145,43.5,1.6,10990
 I20,2017,Manual,19952,Petrol,150,58.9,1.2,7990
 I10,2014,Manual,19874,Petrol,30,57.6,1.2,6490
 I10,2016,Manual,12965,Petrol,20,60.1,1,7490
 I20,2016,Automatic,20458,Petrol,165,42.2,1.4,8990
 Santa Fe,2019,Semi-Auto,2251,Diesel,145,40.9,2.2,31680
 Tucson,2017,Manual,27717,Diesel,150,61.7,1.7,11998
 I40,2016,Semi-Auto,29334,Diesel,125,56.5,1.7,11598
 I20,2016,Manual,17454,Petrol,30,56.5,1.2,7495
 Ioniq,2018,Automatic,9151,Hybrid,135,78.5,1.6,18298
 Tucson,2017,Manual,25123,Diesel,145,54.3,2,14998
 Ioniq,2018,Automatic,7999,Hybrid,135,78.5,1.6,18498
 Tucson,2017,Manual,15999,Diesel,145,61.7,1.7,12998
 Tucson,2017,Manual,23295,Diesel,200,47.9,2,15795
 Tucson,2017,Manual,22117,Diesel,30,61.7,1.7,15980
 I10,2013,Manual,58000,Petrol,20,61.4,1.2,3995
 IX35,2014,Manual,35452,Diesel,165,50.4,1.7,8498
 IX20,2016,Manual,2542,Petrol,125,50.4,1.4,8495
 I10,2015,Manual,26280,Petrol,30,57.6,1.2,5950
 IX20,2016,Automatic,31000,Petrol,165,43.5,1.6,9350
 I10,2014,Manual,37973,Petrol,30,57.6,1.2,5700
 Tucson,2017,Semi-Auto,30335,Diesel,150,57.6,1.7,13998
 Tucson,2017,Manual,26976,Diesel,145,61.7,1.7,13998
 Ioniq,2019,Automatic,11849,Hybrid,140,78.5,1.6,15998
 Tucson,2017,Semi-Auto,25597,Diesel,125,57.6,1.7,14998
 Tucson,2018,Manual,19377,Petrol,150,44.8,1.6,13998
 Tucson,2019,Manual,16553,Petrol,145,34.9,1.6,15498
 I40,2015,Manual,33036,Diesel,20,67.3,1.7,9498
 Tucson,2017,Semi-Auto,14737,Diesel,125,57.6,1.7,15298
 I30,2017,Manual,32361,Diesel,0,78.4,1.6,9498
 I10,2017,Manual,19812,Petrol,145,60.1,1,7798
 Tucson,2016,Manual,36567,Diesel,30,61.7,1.7,10698
 Tucson,2017,Semi-Auto,6436,Diesel,150,57.6,1.7,15998
 Tucson,2018,Manual,29315,Petrol,145,44.8,1.6,13998
 I30,2019,Manual,1771,Petrol,145,45.6,1,17990
 I20,2020,Manual,2637,Petrol,145,46.3,1.2,12991
 I10,2020,Manual,101,Petrol,145,56.5,1,11491
 I10,2017,Manual,34407,Petrol,145,57.7,1.2,8120
 Tucson,2018,Manual,16624,Petrol,150,44.8,1.6,13998
 I20,2016,Manual,28387,Petrol,30,56.5,1.2,8350
 I10,2015,Manual,20905,Petrol,30,57.6,1.2,6620
 I20,2016,Manual,47257,Petrol,0,65.7,1,7340
 IX35,2015,Manual,33910,Petrol,200,41.5,1.6,9891
 I10,2017,Manual,18732,Petrol,145,60.1,1,6990
 I10,2018,Manual,8623,Petrol,145,60.1,1,7690
 Tucson,2017,Manual,20607,Diesel,30,61.7,1.7,13480
 I10,2019,Manual,16330,Petrol,145,60.1,1,7990
 I30,2016,Manual,20394,Petrol,145,48.7,1.4,9600
 Kona,2018,Manual,7473,Petrol,145,52.3,1,14590
 I10,2020,Manual,101,Petrol,145,56.5,1,11490
 Tucson,2020,Semi-Auto,450,Petrol,145,36.2,1.6,20991
 Kona,2020,Manual,2622,Petrol,145,44.1,1,16991
 Ioniq,2019,Automatic,8492,Hybrid,135,78.5,1.6,22720
 I30,2019,Manual,988,Petrol,145,45.6,1,14990
 Tucson,2017,Semi-Auto,41418,Diesel,125,57.6,1.7,12998
 Tucson,2017,Manual,35731,Petrol,150,44.8,1.6,11998
 I30,2015,Manual,34978,Diesel,0,78.4,1.6,7998
 Tucson,2017,Semi-Auto,31960,Diesel,150,57.6,1.7,14698
 I10,2015,Manual,44444,Petrol,30,57.6,1.2,6500
 IX35,2015,Manual,29865,Diesel,145,53.3,1.7,8595
 I10,2015,Semi-Auto,10457,Petrol,145,47.9,1.2,7595
 I800,2018,Manual,39101,Diesel,145,37.7,2.5,14790
 Kona,2018,Manual,19012,Petrol,145,44.1,1,14291
 Tucson,2019,Automatic,3168,Hybrid,145,50.4,1.6,21990
 Tucson,2018,Manual,29268,Diesel,150,61.7,1.7,12698
 Tucson,2019,Manual,110,Petrol,145,34.9,1.6,21490
 Ioniq,2018,Automatic,6259,Hybrid,135,78.5,1.6,18310
 Tucson,2018,Semi-Auto,32482,Diesel,145,57.7,1.7,16990
 Tucson,2018,Manual,7719,Petrol,145,44.8,1.6,13491
 I20,2016,Manual,11,Petrol,30,55.4,1.2,7970
 I30,2017,Manual,41477,Diesel,145,74.3,1.6,9990
 Kona,2018,Manual,9106,Petrol,145,44.1,1,15990
 I20,2019,Manual,1583,Petrol,145,46.3,1.2,11891
 I20,2019,Manual,7097,Petrol,145,46.3,1.2,11790
 Kona,2019,Manual,9283,Petrol,150,44.1,1,13491
 Tucson,2018,Manual,9046,Petrol,145,44.8,1.6,15691
 I20,2019,Manual,3279,Petrol,145,46.3,1.2,11430
 I20,2018,Manual,8804,Petrol,145,58.9,1.2,9991
 Tucson,2018,Manual,16103,Petrol,145,38.7,1.6,17570
 Tucson,2017,Manual,20820,Diesel,145,54.3,2,14860
 I20,2018,Manual,19997,Petrol,145,46.3,1.2,10249
 Tucson,2017,Semi-Auto,12356,Diesel,125,57.6,1.7,15040
 Kona,2019,Manual,150,Petrol,145,44.1,1,14960
 I20,2017,Manual,10402,Petrol,145,58.9,1.2,8480
 I20,2017,Manual,22851,Petrol,145,55.4,1.2,9080
 I20,2017,Manual,14225,Petrol,145,58.9,1.2,8260
 I30,2019,Manual,500,Petrol,145,34,2,24995
 I30,2017,Manual,9866,Petrol,145,57.7,1,9521
 Tucson,2018,Automatic,27855,Diesel,145,47.1,2,15815
 Tucson,2018,Semi-Auto,32802,Diesel,145,57.6,1.7,14099
 I800,2018,Automatic,35460,Diesel,145,28,2.5,15794
 I20,2016,Manual,28106,Petrol,30,56.5,1.2,9295
 Santa Fe,2014,Semi-Auto,48900,Diesel,260,41.5,2.2,14995
 I20,2013,Manual,30252,Petrol,30,57.6,1.2,5495
 I20,2014,Manual,30950,Petrol,30,57.6,1.2,5895
 I20,2014,Manual,36642,Petrol,30,57.6,1.2,5570
 I10,2019,Manual,1000,Petrol,145,49.6,1,9500
 I40,2017,Manual,26500,Diesel,150,65.7,1.7,11388
 Tucson,2017,Manual,31382,Diesel,145,61.7,1.7,14292
 Tucson,2016,Semi-Auto,66899,Diesel,125,57.6,1.7,11780
 Tucson,2016,Manual,45000,Diesel,30,61.7,1.7,10299
 Tucson,2017,Manual,18145,Diesel,30,61.7,1.7,12498
 I30,2014,Manual,42332,Petrol,150,47.1,1.4,6798
 Tucson,2017,Manual,50408,Diesel,30,61.7,1.7,10698
 Tucson,2017,Semi-Auto,32939,Diesel,125,57.6,1.7,14470
 Tucson,2017,Semi-Auto,17378,Diesel,145,57.6,1.7,18500
 I10,2017,Manual,15628,Petrol,20,60.1,1,6560
 Tucson,2017,Manual,19674,Diesel,30,61.7,1.7,14498
 I20,2013,Manual,41232,Petrol,30,57.6,1.2,4995
 I10,2016,Manual,13971,Petrol,20,60.1,1,5992
 I10,2017,Manual,28585,Petrol,145,60.1,1,6820
 Santa Fe,2014,Semi-Auto,49216,Diesel,260,41.5,2.2,12891
 I800,2018,Automatic,32420,Diesel,145,28,2.5,15749
 I800,2018,Manual,31007,Diesel,145,31.7,2.5,15949
 I10,2014,Manual,37875,Petrol,20,60.1,1,4887
 I20,2015,Manual,33925,Petrol,125,51.4,1.4,6995
 Tucson,2017,Semi-Auto,20996,Diesel,125,57.6,1.7,15495
 I10,2017,Manual,32107,Petrol,145,57.7,1.2,6602
 I40,2015,Semi-Auto,61919,Diesel,125,56.5,1.7,9495
 I40,2015,Manual,43492,Diesel,30,62.8,1.7,8995
 I30,2017,Manual,29304,Diesel,145,74.3,1.6,10498
 Tucson,2016,Manual,31604,Petrol,165,44.8,1.6,10498
 I800,2018,Automatic,33244,Diesel,145,28,2.5,15995
 I40,2016,Manual,14335,Diesel,20,67.3,1.7,10995
 Tucson,2018,Manual,5942,Petrol,150,38.7,1.6,15495
 I30,2019,Manual,4700,Petrol,150,34,2,21990
 I10,2013,Manual,69814,Petrol,20,61.4,1.2,3991
 I30,2013,Manual,68728,Diesel,0,76.3,1.6,5408
 I10,2017,Manual,9647,Petrol,145,60.1,1,7040
 Santa Fe,2019,Semi-Auto,1173,Diesel,145,39.2,2.2,33900
 I20,2016,Manual,19578,Petrol,30,55.4,1.2,8111
 Kona,2018,Manual,22684,Petrol,150,52.3,1,12591
 Tucson,2019,Manual,150,Petrol,145,34.9,1.6,22470
 Kona,2018,Manual,7837,Petrol,145,44.1,1,13470
 I10,2015,Manual,23234,Petrol,20,60.1,1,5891
 Santa Fe,2018,Semi-Auto,33911,Diesel,145,42.8,2.2,19483
 I800,2018,Manual,38560,Diesel,145,37.7,2.5,14000
 Santa Fe,2018,Automatic,35915,Diesel,145,42.8,2.2,18000
 I800,2018,Automatic,33389,Diesel,145,31.7,2.5,16000
 I800,2018,Manual,38093,Diesel,145,37.7,2.5,14794
 I10,2019,Manual,2938,Petrol,145,49.6,1,9990
 I20,2017,Manual,35937,Petrol,30,58.9,1.2,7490
 I10,2016,Manual,23315,Petrol,20,60.1,1,5990
 I10,2016,Manual,28386,Petrol,20,61.4,1,6110
 I10,2016,Manual,19390,Petrol,20,60.1,1,6130
 Santa Fe,2016,Semi-Auto,48155,Diesel,235,42.2,2.2,17690
 I20,2016,Manual,20934,Petrol,30,56.5,1.2,7760
 Kona,2019,Manual,9130,Petrol,145,44.1,1,13990
 I30,2019,Manual,3961,Petrol,145,41.5,1.4,14640
 I30,2019,Manual,1247,Petrol,145,45.6,1,14990
 I10,2017,Manual,18036,Petrol,145,57.7,1.2,7740
 I20,2019,Manual,1027,Petrol,145,46.3,1.2,11990
 Tucson,2019,Manual,199,Petrol,145,34.9,1.6,21490
 Tucson,2016,Manual,51846,Diesel,30,61.7,1.7,10870
 Tucson,2016,Manual,48868,Diesel,30,61.7,1.7,10500
 I20,2014,Manual,36818,Petrol,30,57.6,1.2,5498
 Tucson,2019,Semi-Auto,10003,Hybrid,150,50.4,1.6,24000
 Tucson,2018,Manual,9424,Petrol,150,34.9,1.6,18000
 Tucson,2018,Manual,18856,Petrol,150,38.7,1.6,16995
 I800,2018,Automatic,32383,Diesel,145,28,2.5,15995
 Ioniq,2018,Automatic,24905,Hybrid,140,78.5,1.6,14698
 Tucson,2016,Semi-Auto,3778,Diesel,125,57.6,1.7,13798
 I10,2019,Manual,18101,Petrol,150,60.1,1,8298
 Tucson,2017,Manual,38319,Diesel,150,61.7,1.7,12798
 Ioniq,2018,Automatic,18478,Hybrid,140,78.5,1.6,16498
 I20,2014,Manual,49854,Petrol,30,57.6,1.2,4498
 I20,2017,Automatic,6264,Petrol,165,45.6,1.4,10498
 I10,2018,Manual,14830,Petrol,145,60.1,1,7998
 I30,2018,Manual,12223,Petrol,145,57.7,1,9498
 I30,2018,Manual,14319,Petrol,145,57.7,1,9498
 I30,2015,Manual,38279,Diesel,0,78.4,1.6,7498
 Tucson,2018,Manual,21642,Diesel,145,61.7,1.7,12698
 Tucson,2017,Semi-Auto,18062,Diesel,145,57.6,1.7,15498
 IX35,2014,Manual,82203,Diesel,145,53.3,1.7,6881
 I30,2015,Manual,46142,Diesel,0,78.4,1.6,7520
 Tucson,2017,Manual,41103,Petrol,160,44.8,1.6,11360
 I20,2017,Manual,24533,Petrol,145,58.9,1.2,8000
 I10,2017,Manual,24879,Petrol,145,60.1,1,7400
 I10,2016,Manual,37721,Petrol,20,60.1,1,6000
 I20,2016,Manual,15053,Petrol,30,55.4,1.2,9450
 Tucson,2017,Manual,22798,Diesel,30,61.7,1.7,15490
 I10,2016,Manual,6603,Petrol,20,60.1,1,7000
 Kona,2018,Manual,8847,Petrol,145,44.1,1,14750
 Tucson,2016,Semi-Auto,14996,Diesel,125,57.6,1.7,14500
 IX20,2016,Manual,8648,Petrol,125,50.4,1.4,8995
 I10,2017,Manual,13997,Petrol,145,60.1,1,6650
 I20,2015,Manual,29861,Petrol,30,55.4,1.2,6650
 Kona,2019,Manual,4131,Petrol,145,44.1,1,14490
 I30,2015,Manual,25686,Diesel,20,72.4,1.6,9250
 I20,2016,Manual,22654,Petrol,30,55.4,1.2,7990
 I10,2016,Manual,17166,Petrol,30,57.6,1.2,7595
 Tucson,2017,Manual,26697,Diesel,145,61.4,1.7,14990
 Tucson,2017,Manual,36571,Diesel,30,61.7,1.7,10998
 I40,2015,Semi-Auto,36831,Diesel,125,56.5,1.7,10498
 Ioniq,2018,Automatic,23252,Hybrid,135,78.5,1.6,16498
 Tucson,2017,Manual,25661,Diesel,30,61.7,1.7,12298
 I800,2019,Manual,6483,Diesel,145,31.7,2.5,20498
 Tucson,2017,Manual,36432,Diesel,150,54.3,2,17650
 Tucson,2019,Manual,6013,Petrol,150,34.9,1.6,19500
 Tucson,2019,Manual,14147,Petrol,150,34.9,1.6,16500
 Tucson,2017,Manual,23546,Diesel,30,61.7,1.7,15500
 I10,2014,Manual,40650,Petrol,30,57.6,1.2,6000
 I20,2017,Manual,27409,Petrol,30,58.9,1.2,8495
 I10,2018,Manual,10268,Petrol,150,57.7,1.2,9000
 Tucson,2016,Manual,45910,Diesel,200,47.9,2,12700
 I30,2018,Manual,33762,Petrol,150,56.5,1,11000
 I10,2016,Semi-Auto,21344,Petrol,145,47.9,1.2,8250
 I30,2015,Manual,37750,Petrol,145,47.1,1.4,8000
 IX20,2017,Manual,12536,Diesel,145,64.2,1.6,9500
 I20,2016,Manual,14646,Petrol,30,58.9,1.2,8300
 Kona,2019,Manual,3933,Petrol,145,44.1,1,15500
 I10,2014,Manual,21359,Petrol,30,57.6,1.2,6000
 Tucson,2017,Semi-Auto,7525,Diesel,145,57.6,1.7,15200
 Tucson,2016,Manual,18688,Diesel,30,61.7,1.7,13990
 I30,2018,Manual,21802,Petrol,150,52.3,1.4,11671
 Ioniq,2018,Automatic,3138,Hybrid,135,78.5,1.6,18498
 IX20,2017,Automatic,8314,Petrol,160,43.5,1.6,9998
 Ioniq,2019,Automatic,2526,Hybrid,135,78.5,1.6,18998
 I30,2016,Manual,31796,Diesel,0,78.4,1.6,8798
 I10,2017,Manual,29673,Petrol,145,57.7,1.2,6750
 Santa Fe,2016,Semi-Auto,34812,Diesel,235,42.2,2.2,18680
 Kona,2018,Manual,28433,Petrol,145,52.3,1,12395
 I10,2017,Manual,7546,Petrol,145,57.7,1.2,8250
 I20,2016,Manual,27497,Petrol,30,55.4,1.2,7750
 I10,2015,Manual,18050,Petrol,20,61.4,1,6750
 Santa Fe,2015,Automatic,28700,Diesel,260,42.2,2.2,19000
 I20,2018,Manual,18000,Petrol,150,62.8,1,9500
 IX20,2015,Automatic,24610,Petrol,205,43.6,1.6,8500
 I20,2018,Manual,13976,Petrol,150,58.9,1.2,10000
 I30,2017,Manual,14440,Petrol,150,52.3,1.4,11500
 I10,2017,Manual,16483,Petrol,30,57.7,1.2,7500
 I20,2019,Manual,12120,Petrol,150,46.3,1.2,11000
 Santa Fe,2016,Semi-Auto,32223,Diesel,240,42.2,2.2,19000
 I30,2015,Manual,26247,Diesel,0,78.4,1.6,7250
 I20,2015,Manual,40700,Petrol,30,55.4,1.2,6500
 I20,2014,Manual,31946,Petrol,30,57.6,1.2,5500
 I10,2016,Semi-Auto,21473,Petrol,150,47.9,1.2,8000
 Ioniq,2017,Automatic,43912,Hybrid,135,78.5,1.6,14500
 Kona,2018,Manual,20555,Petrol,145,52.3,1,11750
 Tucson,2017,Manual,12543,Petrol,145,38.7,1.6,16500
 Tucson,2016,Manual,25237,Diesel,30,61.7,1.7,14000
 I10,2013,Manual,45615,Petrol,20,61.4,1.2,3750
 Kona,2018,Manual,9884,Petrol,150,44.1,1,13500
 I10,2017,Semi-Auto,12536,Petrol,145,47.9,1.2,11000
 I20,2018,Manual,17624,Petrol,145,65.7,1,10250
 I20,2015,Manual,47900,Petrol,30,55.4,1.2,6500
 I10,2016,Manual,16205,Petrol,30,57.6,1.2,7280
 Santa Fe,2019,Semi-Auto,9739,Diesel,150,39.2,2.2,32380
